4094	3383
340	276
131	116
135	116
137	141
30	28
37	25
47	43
49	40
41	48
137	128
77	71
41	26
37	39
17	26
50	43
25	17
44	44
188	186
29	29
57	31
13	20
60	57
73	61
22	29
36	17
9	15
55	58
96	102
12	11
25	28
12	14
44	58
57	46
24	42
42	41
36	40
28	20
91	50
44	37
13	11
34	40
21	17
20	27
193	172
31	29
62	47
16	15
45	42
79	72
120	116
23	18
39	23
94	88
195	216
29	27
64	49
24	24
110	34
61	51
23	30
26	26
28	23
87	76
87	70
26	24
43	32
16	20
83	62
59	69
13	13
22	18
61	65
30	28
29	39
70	56
65	72
48	43
58	45
57	69
47	47
38	19
19	18
48	57
127	120
90	88
51	42
63	60
152	129
53	45
6	14
36	38
75	83
51	45
47	36
47	47
45	42
152	155

